2024-11-26 20:05:43.810 CET [12528] LOG:  el sistema de bases de datos fue apagado en 2024-11-26 20:00:36 CET
2024-11-26 20:10:43.803 CET [31404] LOG:  empezando checkpoint: time
2024-11-26 20:11:31.975 CET [31404] LOG:  checkpoint completo: escritos 446 búfers (2.7%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=48.127 s, sync=0.037 s, total=48.177 s; archivos sincronizados=77, más largo=0.002 s, promedio=0.001 s; distancia=3159 kB, estimación=3159 kB; lsn=0/39705F0, lsn de redo=0/395CF08
2024-11-26 20:11:58.199 CET [22488] ERROR:  no se puede eliminar tabla sisinf_p2.clase porque otros objetos dependen de él
2024-11-26 20:11:58.199 CET [22488] DETALLE:  restricción «reserva_copy_actividad_fecha_hora_fkey» en tabla sisinf_p2.reserva_copy depende de tabla sisinf_p2.clase
2024-11-26 20:11:58.199 CET [22488] HINT:  Use DROP ... CASCADE para eliminar además los objetos dependientes.
2024-11-26 20:11:58.199 CET [22488] SENTENCIA:  drop table sisinf_p2.CLASE
2024-11-26 20:15:43.976 CET [31404] LOG:  empezando checkpoint: time
2024-11-26 20:15:46.612 CET [31404] LOG:  checkpoint completo: escritos 25 búfers (0.2%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=2.615 s, sync=0.009 s, total=2.637 s; archivos sincronizados=17, más largo=0.001 s, promedio=0.001 s; distancia=183 kB, estimación=2862 kB; lsn=0/398ABE8, lsn de redo=0/398AB90
2024-11-26 20:20:43.605 CET [31404] LOG:  empezando checkpoint: time
2024-11-26 20:21:34.446 CET [31404] LOG:  checkpoint completo: escritos 469 búfers (2.9%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=50.780 s, sync=0.041 s, total=50.841 s; archivos sincronizados=95, más largo=0.002 s, promedio=0.001 s; distancia=3505 kB, estimación=3505 kB; lsn=0/3D14BE0, lsn de redo=0/3CF7128
2024-11-26 20:22:15.456 CET [17256] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-11-26 20:25:43.453 CET [31404] LOG:  empezando checkpoint: time
2024-11-26 20:25:45.212 CET [31404] LOG:  checkpoint completo: escritos 17 búfers (0.1%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=1.739 s, sync=0.013 s, total=1.760 s; archivos sincronizados=13, más largo=0.003 s, promedio=0.001 s; distancia=179 kB, estimación=3172 kB; lsn=0/3D24018, lsn de redo=0/3D23FA8
2024-11-26 20:30:43.206 CET [31404] LOG:  empezando checkpoint: time
2024-11-26 20:31:18.535 CET [31404] LOG:  checkpoint completo: escritos 326 búfers (2.0%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=35.308 s, sync=0.012 s, total=35.330 s; archivos sincronizados=25, más largo=0.002 s, promedio=0.001 s; distancia=2509 kB, estimación=3106 kB; lsn=0/3F9EE20, lsn de redo=0/3F973C0
2024-11-26 20:33:28.619 CET [31488] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 20:33:28.619 CET [22488] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 20:33:28.623 CET [15316] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 20:33:28.623 CET [29880] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 20:33:28.625 CET [29172] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 20:33:28.640 CET [31404] LOG:  apagando
2024-11-26 20:33:28.642 CET [31404] LOG:  empezando checkpoint: shutdown immediate
2024-11-26 20:33:28.656 CET [31404] LOG:  checkpoint completo: escritos 14 búfers (0.1%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=0.002 s, sync=0.006 s, total=0.015 s; archivos sincronizados=9, más largo=0.001 s, promedio=0.001 s; distancia=56 kB, estimación=2801 kB; lsn=0/3FA5750, lsn de redo=0/3FA5750
